features,score
106,61.5839577290796
1931,53.741534737595
1388,50.804945890277
741,38.9146415545897
936,38.0735324157942
718,37.3100365587968
1893,30.135836476609
1729,29.3724375629881
911,28.0930250472016
254,25.7843017862382
975,22.5239201232791
757,21.9810578513802
605,21.8565987775825
325,21.545939859361
32,20.9999428871353
1262,20.5258910198829
1794,20.4025021803226
285,20.3746909894005
2239,19.7033972470254
799,19.5259175254432
853,19.4936936063251
841,19.4713302513987
646,19.1061013220495
399,18.7930286535578
1113,18.5820321284619
2021,18.3040909413805
1771,18.1671916286351
544,17.6427955055107
1819,17.4661730005079
1370,17.2873422697393
1953,16.9277037937978
837,16.9243880755397
1027,16.6584664622154
2049,16.6117681830938
280,16.5000760243766
1948,16.457910451438
787,16.4309492979202
1083,16.131396011167
1166,15.8064018210278
151,15.7890303568492
1267,15.7371774220518
596,15.6768898109959
1660,15.6446772502661
429,15.4600233575493
1976,15.2846242571321
206,15.2283203091
688,15.1584281018878
1073,15.0004373795097
606,14.9668576606414
1048,14.8687725353111
570,14.4375251247232
1417,14.0380282972734
509,13.8947475808363
1607,13.4431928445518
819,13.0112276280405
1860,12.8094811992147
1749,12.7540856366212
1056,12.5352518539708
437,12.4386932677759
1575,12.3405777104774
2217,12.2288263740131
1606,12.2068958977635
603,12.1990644637219
2149,12.1211803628463
265,12.0013203112148
1574,12.0001811716216
98,11.9980139234346
997,11.9747131358526
750,11.936374745094
73,11.8953863335483
1650,11.8824064288798
2213,11.8632075092515
1882,11.8269582126718
33,11.7990651586743
874,11.7942446126194
1950,11.7610200745338
1462,11.7517472816839
54,11.7451323204848
1257,11.7399948007828
1534,11.6932678154341
1442,11.6895466532114
1283,11.6617667301102
508,11.6251275163358
1108,11.6221156162524
0,11.5712566257456
643,11.5467076568454
1883,11.5458505291136
59,11.5445507209581
550,11.5264047905425
728,11.5162440734171
293,11.4937678181884
2252,11.4866323885607
2161,11.4724047242832
1202,11.420698453979
245,11.3706655106528
818,11.3334948915033
1092,11.2839878583919
1664,11.2606329676662
235,11.2429227429971
282,11.21269667927
974,11.0652825225925
1052,11.0298175006723
687,10.9851878868738
1212,10.8953477081461
955,10.8307796782388
1812,10.830138571474
988,10.8273136961545
671,10.7723741242527
1352,10.7240886827355
1490,10.7084087247898
1360,10.6938446822018
13,10.6700209402989
1681,10.6671236763438
1885,10.6272910630189
229,10.6058708174612
1758,10.5976939569221
91,10.5813005937736
1385,10.5517934148366
1024,10.5388111995404
2220,10.510447128247
1737,10.4810206747162
1611,10.3824063275211
458,10.3136692243752
780,10.3095870873608
1764,10.2837177567759
1620,10.1439189539226
461,10.1261275992378
234,10.1056664975022
905,10.0996191232845
1496,10.0737654080142
1517,10.0533219016402
1281,10.0441441874334
786,10.0125907095094
40,10.0057037389962
1234,9.9830374240284
1875,9.8853146352782
1140,9.86432606182505
1308,9.85454732451115
956,9.8499248795955
1326,9.8485680854105
1665,9.82364045300525
28,9.7556225682414
2212,9.7291848905909
405,9.63324587314105
1071,9.4896168244373
